Well,Group,Measurement,Time,OCR,ECAR,PER
B06,3. FA Dependency-ctl,3,14.51460816,110.3708262,18.6659418,0
B07,4. FA Capacity-ctl,3,14.51460816,115.8030833,25.1224791,0
B08,4. FA Capacity-ctl,3,14.51460816,201.296457,38.88541826,0
B09,5. GLC Dependency-ctl,3,14.51460816,83.45855731,19.97520497,0
B10,5. GLC Dependency-ctl,3,14.51460816,117.8125705,25.12085179,0
B11,6. GLC Capacity-ctl,3,14.51460816,127.6230671,24.00272185,0
B12,6. GLC Capacity-ctl,3,14.51460816,128.2605899,28.5890813,0
C01,1. GLN Dependency -ctl,3,14.51460816,89.37914728,25.38901072,0
C02,1. GLN Dependency -ctl,3,14.51460816,106.6877958,22.90289271,0
C03,2. GLN Capacity-ctl,3,14.51460816,107.1417649,23.99961075,0
C04,2. GLN Capacity-ctl,3,14.51460816,122.8848893,28.74588084,0
C05,3. FA Dependency-ctl,3,14.51460816,140.9897287,26.81307917,0
C06,3. FA Dependency-ctl,3,14.51460816,123.5714565,17.65044135,0
C07,4. FA Capacity-ctl,3,14.51460816,153.0409702,31.77927256,0
C08,4. FA Capacity-ctl,3,14.51460816,122.3831302,27.56419418,0
C09,5. GLC Dependency-ctl,3,14.51460816,103.9280259,19.96658356,0
C10,5. GLC Dependency-ctl,3,14.51460816,139.9838244,29.04547904,0
C11,6. GLC Capacity-ctl,3,14.51460816,92.01943571,18.40596808,0
C12,6. GLC Capacity-ctl,3,14.51460816,106.4737478,21.43702428,0
D01,1. GLN Dependency -ctl,3,14.51460816,170.5164177,30.81251211,0
D02,1. GLN Dependency -ctl,3,14.51460816,183.8859938,37.71312184,0
D03,2. GLN Capacity-ctl,3,14.51460816,158.8490806,30.74013583,0
D04,2. GLN Capacity-ctl,3,14.51460816,219.4797828,33.73947723,0
D05,3. FA Dependency-ctl,3,14.51460816,180.5501873,33.59323819,0
D06,3. FA Dependency-ctl,3,14.51460816,110.154746,19.43703021,0
D07,4. FA Capacity-ctl,3,14.51460816,203.0288909,34.97829626,0
D08,4. FA Capacity-ctl,3,14.51460816,171.7909267,31.61346736,0
D09,5. GLC Dependency-ctl,3,14.51460816,194.7768879,37.62542513,0
D10,5. GLC Dependency-ctl,3,14.51460816,228.1969447,39.28746241,0
D11,6. GLC Capacity-ctl,3,14.51460816,175.7146629,28.996014,0
D12,6. GLC Capacity-ctl,3,14.51460816,325.3152128,51.00838075,0
E01,1. GLN Dependency -vpa,3,14.51460816,159.3548966,35.55568195,0
E02,1. GLN Dependency -vpa,3,14.51460816,113.2512635,25.53938349,0
E03,2. GLN Capacity-vpa,3,14.51460816,181.8758831,33.71763305,0
E04,2. GLN Capacity-vpa,3,14.51460816,136.5555567,24.41238421,0
E05,3. FA Dependency-vpa,3,14.51460816,136.5664784,28.02253774,0
E06,3. FA Dependency-vpa,3,14.51460816,170.3894477,28.67408331,0
E07,4. FA Capacity-vpa,3,14.51460816,163.3314772,32.30944237,0
E08,4. FA Capacity-vpa,3,14.51460816,162.6508295,34.51586427,0
E09,5. GLC Dependency-vpa,3,14.51460816,157.9941337,32.83591651,0
E10,5. GLC Dependency-vpa,3,14.51460816,116.2203325,22.06267675,0
E11,6. GLC Capacity-vpa,3,14.51460816,112.1603192,25.78625997,0
E12,6. GLC Capacity-vpa,3,14.51460816,116.9796453,23.30748037,0
F01,1. GLN Dependency -vpa,3,14.51460816,72.48418485,16.15070768,0
F02,1. GLN Dependency -vpa,3,14.51460816,129.7768005,23.20500188,0
F03,2. GLN Capacity-vpa,3,14.51460816,136.2701844,26.92564814,0
F04,2. GLN Capacity-vpa,3,14.51460816,96.79627335,18.32629171,0
F05,3. FA Dependency-vpa,3,14.51460816,116.03475,22.15768138,0
F06,3. FA Dependency-vpa,3,14.51460816,203.0170803,31.20835622,0
F07,4. FA Capacity-vpa,3,14.51460816,125.9708966,23.77197498,0
F08,4. FA Capacity-vpa,3,14.51460816,241.4467921,46.63559021,0
F09,5. GLC Dependency-vpa,3,14.51460816,159.3892379,29.83212569,0
F10,5. GLC Dependency-vpa,3,14.51460816,118.7335514,25.32898542,0
F11,6. GLC Capacity-vpa,3,14.51460816,107.3191346,22.68209939,0
F12,6. GLC Capacity-vpa,3,14.51460816,102.1499253,20.46437076,0
G01,1. GLN Dependency -vpa,3,14.51460816,75.45855658,16.90661181,0
G02,1. GLN Dependency -vpa,3,14.51460816,139.3465052,28.15352796,0
G03,2. GLN Capacity-vpa,3,14.51460816,170.652997,29.33372349,0
G04,2. GLN Capacity-vpa,3,14.51460816,137.9820742,25.99114986,0
G05,3. FA Dependency-vpa,3,14.51460816,91.67474057,20.77947346,0
G06,3. FA Dependency-vpa,3,14.51460816,218.5069468,37.49159339,0
G07,4. FA Capacity-vpa,3,14.51460816,222.3045595,40.48929224,0
G08,4. FA Capacity-vpa,3,14.51460816,57.04985781,26.27159469,0
G09,5. GLC Dependency-vpa,3,14.51460816,195.9033343,33.89942566,0
G10,5. GLC Dependency-vpa,3,14.51460816,208.9685188,35.21122005,0
G11,6. GLC Capacity-vpa,3,14.51460816,187.9147899,26.0282991,0
G12,6. GLC Capacity-vpa,3,14.51460816,110.3439369,27.27465645,0
H01,Background,3,14.51460816,0,0,0
